"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"1","DIC",1,20,10,0.04,0.04,0.2,0.2,0.35
"2","WAIC",1,20,10,0.04,0.04,0.2,0.2,0.35
"3","LOO",1,20,10,0.04,0.04,0.2,0.2,0.33
"4","DIC",2,20,10,0.04,0.04,0.2,0.2,0.32
"5","WAIC",2,20,10,0.04,0.04,0.2,0.2,0.34
"6","LOO",2,20,10,0.04,0.04,0.2,0.2,0.41
"7","DIC",3,20,10,0.04,0.04,0.2,0.2,0.15
"8","WAIC",3,20,10,0.04,0.04,0.2,0.2,0.15
"9","LOO",3,20,10,0.04,0.04,0.2,0.2,0.12
"10","DIC",4,20,10,0.04,0.04,0.2,0.2,0.04
"11","WAIC",4,20,10,0.04,0.04,0.2,0.2,0.04
"12","LOO",4,20,10,0.04,0.04,0.2,0.2,0.03
"13","DIC",5,20,10,0.04,0.04,0.2,0.2,0.14
"14","WAIC",5,20,10,0.04,0.04,0.2,0.2,0.12
"15","LOO",5,20,10,0.04,0.04,0.2,0.2,0.11
"16","DIC",1,50,10,0.04,0.04,0.2,0.2,0.52
"17","WAIC",1,50,10,0.04,0.04,0.2,0.2,0.55
"18","LOO",1,50,10,0.04,0.04,0.2,0.2,0.56
"19","DIC",2,50,10,0.04,0.04,0.2,0.2,0.17
"20","WAIC",2,50,10,0.04,0.04,0.2,0.2,0.2
"21","LOO",2,50,10,0.04,0.04,0.2,0.2,0.24
"22","DIC",3,50,10,0.04,0.04,0.2,0.2,0.18
"23","WAIC",3,50,10,0.04,0.04,0.2,0.2,0.15
"24","LOO",3,50,10,0.04,0.04,0.2,0.2,0.11
"25","DIC",4,50,10,0.04,0.04,0.2,0.2,0
"26","WAIC",4,50,10,0.04,0.04,0.2,0.2,0
"27","LOO",4,50,10,0.04,0.04,0.2,0.2,0
"28","DIC",5,50,10,0.04,0.04,0.2,0.2,0.13
"29","WAIC",5,50,10,0.04,0.04,0.2,0.2,0.1
"30","LOO",5,50,10,0.04,0.04,0.2,0.2,0.09
"31","DIC",1,70,10,0.04,0.04,0.2,0.2,0.48
"32","WAIC",1,70,10,0.04,0.04,0.2,0.2,0.52
"33","LOO",1,70,10,0.04,0.04,0.2,0.2,0.55
"34","DIC",2,70,10,0.04,0.04,0.2,0.2,0.1
"35","WAIC",2,70,10,0.04,0.04,0.2,0.2,0.15
"36","LOO",2,70,10,0.04,0.04,0.2,0.2,0.18
"37","DIC",3,70,10,0.04,0.04,0.2,0.2,0.3
"38","WAIC",3,70,10,0.04,0.04,0.2,0.2,0.25
"39","LOO",3,70,10,0.04,0.04,0.2,0.2,0.2
"40","DIC",4,70,10,0.04,0.04,0.2,0.2,0
"41","WAIC",4,70,10,0.04,0.04,0.2,0.2,0
"42","LOO",4,70,10,0.04,0.04,0.2,0.2,0
"43","DIC",5,70,10,0.04,0.04,0.2,0.2,0.12
"44","WAIC",5,70,10,0.04,0.04,0.2,0.2,0.08
"45","LOO",5,70,10,0.04,0.04,0.2,0.2,0.07
"46","DIC",1,20,50,0.04,0.04,0.2,0.2,0.48
"47","WAIC",1,20,50,0.04,0.04,0.2,0.2,0.73
"48","LOO",1,20,50,0.04,0.04,0.2,0.2,0.74
"49","DIC",2,20,50,0.04,0.04,0.2,0.2,0.01
"50","WAIC",2,20,50,0.04,0.04,0.2,0.2,0.03
"51","LOO",2,20,50,0.04,0.04,0.2,0.2,0.03
"52","DIC",3,20,50,0.04,0.04,0.2,0.2,0.28
"53","WAIC",3,20,50,0.04,0.04,0.2,0.2,0.11
"54","LOO",3,20,50,0.04,0.04,0.2,0.2,0.1
"55","DIC",4,20,50,0.04,0.04,0.2,0.2,0
"56","WAIC",4,20,50,0.04,0.04,0.2,0.2,0
"57","LOO",4,20,50,0.04,0.04,0.2,0.2,0
"58","DIC",5,20,50,0.04,0.04,0.2,0.2,0.23
"59","WAIC",5,20,50,0.04,0.04,0.2,0.2,0.13
"60","LOO",5,20,50,0.04,0.04,0.2,0.2,0.13
"61","DIC",1,50,50,0.04,0.04,0.2,0.2,0.47
"62","WAIC",1,50,50,0.04,0.04,0.2,0.2,0.61
"63","LOO",1,50,50,0.04,0.04,0.2,0.2,0.64
"64","DIC",2,50,50,0.04,0.04,0.2,0.2,0
"65","WAIC",2,50,50,0.04,0.04,0.2,0.2,0
"66","LOO",2,50,50,0.04,0.04,0.2,0.2,0
"67","DIC",3,50,50,0.04,0.04,0.2,0.2,0.28
"68","WAIC",3,50,50,0.04,0.04,0.2,0.2,0.23
"69","LOO",3,50,50,0.04,0.04,0.2,0.2,0.21
"70","DIC",4,50,50,0.04,0.04,0.2,0.2,0
"71","WAIC",4,50,50,0.04,0.04,0.2,0.2,0
"72","LOO",4,50,50,0.04,0.04,0.2,0.2,0
"73","DIC",5,50,50,0.04,0.04,0.2,0.2,0.25
"74","WAIC",5,50,50,0.04,0.04,0.2,0.2,0.16
"75","LOO",5,50,50,0.04,0.04,0.2,0.2,0.15
"76","DIC",1,70,50,0.04,0.04,0.2,0.2,0.52
"77","WAIC",1,70,50,0.04,0.04,0.2,0.2,0.67
"78","LOO",1,70,50,0.04,0.04,0.2,0.2,0.67
"79","DIC",2,70,50,0.04,0.04,0.2,0.2,0
"80","WAIC",2,70,50,0.04,0.04,0.2,0.2,0
"81","LOO",2,70,50,0.04,0.04,0.2,0.2,0
"82","DIC",3,70,50,0.04,0.04,0.2,0.2,0.22
"83","WAIC",3,70,50,0.04,0.04,0.2,0.2,0.14
"84","LOO",3,70,50,0.04,0.04,0.2,0.2,0.13
"85","DIC",4,70,50,0.04,0.04,0.2,0.2,0
"86","WAIC",4,70,50,0.04,0.04,0.2,0.2,0
"87","LOO",4,70,50,0.04,0.04,0.2,0.2,0
"88","DIC",5,70,50,0.04,0.04,0.2,0.2,0.26
"89","WAIC",5,70,50,0.04,0.04,0.2,0.2,0.19
"90","LOO",5,70,50,0.04,0.04,0.2,0.2,0.2
"91","DIC",1,20,100,0.04,0.04,0.2,0.2,0.49
"92","WAIC",1,20,100,0.04,0.04,0.2,0.2,0.62
"93","LOO",1,20,100,0.04,0.04,0.2,0.2,0.63
"94","DIC",2,20,100,0.04,0.04,0.2,0.2,0
"95","WAIC",2,20,100,0.04,0.04,0.2,0.2,0
"96","LOO",2,20,100,0.04,0.04,0.2,0.2,0
"97","DIC",3,20,100,0.04,0.04,0.2,0.2,0.25
"98","WAIC",3,20,100,0.04,0.04,0.2,0.2,0.17
"99","LOO",3,20,100,0.04,0.04,0.2,0.2,0.15
"100","DIC",4,20,100,0.04,0.04,0.2,0.2,0
"101","WAIC",4,20,100,0.04,0.04,0.2,0.2,0
"102","LOO",4,20,100,0.04,0.04,0.2,0.2,0
"103","DIC",5,20,100,0.04,0.04,0.2,0.2,0.26
"104","WAIC",5,20,100,0.04,0.04,0.2,0.2,0.21
"105","LOO",5,20,100,0.04,0.04,0.2,0.2,0.22
"106","DIC",1,50,100,0.04,0.04,0.2,0.2,0.43
"107","WAIC",1,50,100,0.04,0.04,0.2,0.2,0.63
"108","LOO",1,50,100,0.04,0.04,0.2,0.2,0.64
"109","DIC",2,50,100,0.04,0.04,0.2,0.2,0
"110","WAIC",2,50,100,0.04,0.04,0.2,0.2,0
"111","LOO",2,50,100,0.04,0.04,0.2,0.2,0
"112","DIC",3,50,100,0.04,0.04,0.2,0.2,0.32
"113","WAIC",3,50,100,0.04,0.04,0.2,0.2,0.17
"114","LOO",3,50,100,0.04,0.04,0.2,0.2,0.16
"115","DIC",4,50,100,0.04,0.04,0.2,0.2,0
