"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"1","DIC",1,20,10,0.04,0.04,0.2,0.2,0,0.33
"2","WAIC",1,20,10,0.04,0.04,0.2,0.2,0,0.36
"3","LOO",1,20,10,0.04,0.04,0.2,0.2,0,0.34
"4","DIC",2,20,10,0.04,0.04,0.2,0.2,0,0.35
"5","WAIC",2,20,10,0.04,0.04,0.2,0.2,0,0.35
"6","LOO",2,20,10,0.04,0.04,0.2,0.2,0,0.43
"7","DIC",3,20,10,0.04,0.04,0.2,0.2,0,0.17
"8","WAIC",3,20,10,0.04,0.04,0.2,0.2,0,0.14
"9","LOO",3,20,10,0.04,0.04,0.2,0.2,0,0.09
"10","DIC",4,20,10,0.04,0.04,0.2,0.2,0,0.02
"11","WAIC",4,20,10,0.04,0.04,0.2,0.2,0,0.04
"12","LOO",4,20,10,0.04,0.04,0.2,0.2,0,0.04
"13","DIC",5,20,10,0.04,0.04,0.2,0.2,0,0.13
"14","WAIC",5,20,10,0.04,0.04,0.2,0.2,0,0.11
"15","LOO",5,20,10,0.04,0.04,0.2,0.2,0,0.1
"16","DIC",1,50,10,0.04,0.04,0.2,0.2,0,0.37
"17","WAIC",1,50,10,0.04,0.04,0.2,0.2,0,0.42
"18","LOO",1,50,10,0.04,0.04,0.2,0.2,0,0.42
"19","DIC",2,50,10,0.04,0.04,0.2,0.2,0,0.24
"20","WAIC",2,50,10,0.04,0.04,0.2,0.2,0,0.3
"21","LOO",2,50,10,0.04,0.04,0.2,0.2,0,0.35
"22","DIC",3,50,10,0.04,0.04,0.2,0.2,0,0.22
"23","WAIC",3,50,10,0.04,0.04,0.2,0.2,0,0.16
"24","LOO",3,50,10,0.04,0.04,0.2,0.2,0,0.11
"25","DIC",4,50,10,0.04,0.04,0.2,0.2,0,0
"26","WAIC",4,50,10,0.04,0.04,0.2,0.2,0,0
"27","LOO",4,50,10,0.04,0.04,0.2,0.2,0,0
"28","DIC",5,50,10,0.04,0.04,0.2,0.2,0,0.17
"29","WAIC",5,50,10,0.04,0.04,0.2,0.2,0,0.12
"30","LOO",5,50,10,0.04,0.04,0.2,0.2,0,0.12
"31","DIC",1,70,10,0.04,0.04,0.2,0.2,0,0.41
"32","WAIC",1,70,10,0.04,0.04,0.2,0.2,0,0.56
"33","LOO",1,70,10,0.04,0.04,0.2,0.2,0,0.58
"34","DIC",2,70,10,0.04,0.04,0.2,0.2,0,0.16
"35","WAIC",2,70,10,0.04,0.04,0.2,0.2,0,0.13
"36","LOO",2,70,10,0.04,0.04,0.2,0.2,0,0.16
"37","DIC",3,70,10,0.04,0.04,0.2,0.2,0,0.26
"38","WAIC",3,70,10,0.04,0.04,0.2,0.2,0,0.18
"39","LOO",3,70,10,0.04,0.04,0.2,0.2,0,0.13
"40","DIC",4,70,10,0.04,0.04,0.2,0.2,0,0
"41","WAIC",4,70,10,0.04,0.04,0.2,0.2,0,0
"42","LOO",4,70,10,0.04,0.04,0.2,0.2,0,0
"43","DIC",5,70,10,0.04,0.04,0.2,0.2,0,0.17
"44","WAIC",5,70,10,0.04,0.04,0.2,0.2,0,0.13
"45","LOO",5,70,10,0.04,0.04,0.2,0.2,0,0.13
"46","DIC",1,20,50,0.04,0.04,0.2,0.2,0,0.61
"47","WAIC",1,20,50,0.04,0.04,0.2,0.2,0,0.72
"48","LOO",1,20,50,0.04,0.04,0.2,0.2,0,0.72
"49","DIC",2,20,50,0.04,0.04,0.2,0.2,0,0.01
"50","WAIC",2,20,50,0.04,0.04,0.2,0.2,0,0.01
"51","LOO",2,20,50,0.04,0.04,0.2,0.2,0,0.01
"52","DIC",3,20,50,0.04,0.04,0.2,0.2,0,0.21
"53","WAIC",3,20,50,0.04,0.04,0.2,0.2,0,0.13
"54","LOO",3,20,50,0.04,0.04,0.2,0.2,0,0.12
"55","DIC",4,20,50,0.04,0.04,0.2,0.2,0,0
"56","WAIC",4,20,50,0.04,0.04,0.2,0.2,0,0
"57","LOO",4,20,50,0.04,0.04,0.2,0.2,0,0
"58","DIC",5,20,50,0.04,0.04,0.2,0.2,0,0.17
"59","WAIC",5,20,50,0.04,0.04,0.2,0.2,0,0.14
"60","LOO",5,20,50,0.04,0.04,0.2,0.2,0,0.15
"61","DIC",1,50,50,0.04,0.04,0.2,0.2,0,0.46
"62","WAIC",1,50,50,0.04,0.04,0.2,0.2,0,0.62
"63","LOO",1,50,50,0.04,0.04,0.2,0.2,0,0.62
"64","DIC",2,50,50,0.04,0.04,0.2,0.2,0,0
"65","WAIC",2,50,50,0.04,0.04,0.2,0.2,0,0
"66","LOO",2,50,50,0.04,0.04,0.2,0.2,0,0
"67","DIC",3,50,50,0.04,0.04,0.2,0.2,0,0.25
"68","WAIC",3,50,50,0.04,0.04,0.2,0.2,0,0.13
"69","LOO",3,50,50,0.04,0.04,0.2,0.2,0,0.13
"70","DIC",4,50,50,0.04,0.04,0.2,0.2,0,0
"71","WAIC",4,50,50,0.04,0.04,0.2,0.2,0,0
"72","LOO",4,50,50,0.04,0.04,0.2,0.2,0,0
"73","DIC",5,50,50,0.04,0.04,0.2,0.2,0,0.29
"74","WAIC",5,50,50,0.04,0.04,0.2,0.2,0,0.25
"75","LOO",5,50,50,0.04,0.04,0.2,0.2,0,0.25
"76","DIC",1,70,50,0.04,0.04,0.2,0.2,0,0.43
"77","WAIC",1,70,50,0.04,0.04,0.2,0.2,0,0.67
"78","LOO",1,70,50,0.04,0.04,0.2,0.2,0,0.67
"79","DIC",2,70,50,0.04,0.04,0.2,0.2,0,0
"80","WAIC",2,70,50,0.04,0.04,0.2,0.2,0,0
"81","LOO",2,70,50,0.04,0.04,0.2,0.2,0,0
"82","DIC",3,70,50,0.04,0.04,0.2,0.2,0,0.25
"83","WAIC",3,70,50,0.04,0.04,0.2,0.2,0,0.19
"84","LOO",3,70,50,0.04,0.04,0.2,0.2,0,0.19
"85","DIC",4,70,50,0.04,0.04,0.2,0.2,0,0
