"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"1","DIC",1,20,10,0.04,0.04,0.2,0.2,0,0.13
"2","WAIC",1,20,10,0.04,0.04,0.2,0.2,0,0
"3","LOO",1,20,10,0.04,0.04,0.2,0.2,0,0
"4","DIC",2,20,10,0.04,0.04,0.2,0.2,0,0.77
"5","WAIC",2,20,10,0.04,0.04,0.2,0.2,0,1
"6","LOO",2,20,10,0.04,0.04,0.2,0.2,0,1
"7","DIC",3,20,10,0.04,0.04,0.2,0.2,0,0.03
"8","WAIC",3,20,10,0.04,0.04,0.2,0.2,0,0
"9","LOO",3,20,10,0.04,0.04,0.2,0.2,0,0
"10","DIC",4,20,10,0.04,0.04,0.2,0.2,0,0.07
"11","WAIC",4,20,10,0.04,0.04,0.2,0.2,0,0
"12","LOO",4,20,10,0.04,0.04,0.2,0.2,0,0
"13","DIC",5,20,10,0.04,0.04,0.2,0.2,0,0
"14","WAIC",5,20,10,0.04,0.04,0.2,0.2,0,0
"15","LOO",5,20,10,0.04,0.04,0.2,0.2,0,0
"16","DIC",1,50,10,0.04,0.04,0.2,0.2,0,0.33
"17","WAIC",1,50,10,0.04,0.04,0.2,0.2,0,0
"18","LOO",1,50,10,0.04,0.04,0.2,0.2,0,0
"19","DIC",2,50,10,0.04,0.04,0.2,0.2,0,0.65
"20","WAIC",2,50,10,0.04,0.04,0.2,0.2,0,1
"21","LOO",2,50,10,0.04,0.04,0.2,0.2,0,1
"22","DIC",3,50,10,0.04,0.04,0.2,0.2,0,0.01
"23","WAIC",3,50,10,0.04,0.04,0.2,0.2,0,0
"24","LOO",3,50,10,0.04,0.04,0.2,0.2,0,0
"25","DIC",4,50,10,0.04,0.04,0.2,0.2,0,0
"26","WAIC",4,50,10,0.04,0.04,0.2,0.2,0,0
"27","LOO",4,50,10,0.04,0.04,0.2,0.2,0,0
"28","DIC",5,50,10,0.04,0.04,0.2,0.2,0,0.01
"29","WAIC",5,50,10,0.04,0.04,0.2,0.2,0,0
"30","LOO",5,50,10,0.04,0.04,0.2,0.2,0,0
"31","DIC",1,70,10,0.04,0.04,0.2,0.2,0,0.62
"32","WAIC",1,70,10,0.04,0.04,0.2,0.2,0,0
"33","LOO",1,70,10,0.04,0.04,0.2,0.2,0,0
"34","DIC",2,70,10,0.04,0.04,0.2,0.2,0,0.38
"35","WAIC",2,70,10,0.04,0.04,0.2,0.2,0,1
"36","LOO",2,70,10,0.04,0.04,0.2,0.2,0,1
"37","DIC",3,70,10,0.04,0.04,0.2,0.2,0,0
"38","WAIC",3,70,10,0.04,0.04,0.2,0.2,0,0
"39","LOO",3,70,10,0.04,0.04,0.2,0.2,0,0
"40","DIC",4,70,10,0.04,0.04,0.2,0.2,0,0
"41","WAIC",4,70,10,0.04,0.04,0.2,0.2,0,0
"42","LOO",4,70,10,0.04,0.04,0.2,0.2,0,0
"43","DIC",5,70,10,0.04,0.04,0.2,0.2,0,0
"44","WAIC",5,70,10,0.04,0.04,0.2,0.2,0,0
"45","LOO",5,70,10,0.04,0.04,0.2,0.2,0,0
"46","DIC",1,20,50,0.04,0.04,0.2,0.2,0,0.92
"47","WAIC",1,20,50,0.04,0.04,0.2,0.2,0,0
"48","LOO",1,20,50,0.04,0.04,0.2,0.2,0,0
"49","DIC",2,20,50,0.04,0.04,0.2,0.2,0,0.06
"50","WAIC",2,20,50,0.04,0.04,0.2,0.2,0,1
"51","LOO",2,20,50,0.04,0.04,0.2,0.2,0,1
"52","DIC",3,20,50,0.04,0.04,0.2,0.2,0,0
"53","WAIC",3,20,50,0.04,0.04,0.2,0.2,0,0
"54","LOO",3,20,50,0.04,0.04,0.2,0.2,0,0
"55","DIC",4,20,50,0.04,0.04,0.2,0.2,0,0
"56","WAIC",4,20,50,0.04,0.04,0.2,0.2,0,0
"57","LOO",4,20,50,0.04,0.04,0.2,0.2,0,0
"58","DIC",5,20,50,0.04,0.04,0.2,0.2,0,0.02
"59","WAIC",5,20,50,0.04,0.04,0.2,0.2,0,0
"60","LOO",5,20,50,0.04,0.04,0.2,0.2,0,0
"61","DIC",1,50,50,0.04,0.04,0.2,0.2,0,0.96
"62","WAIC",1,50,50,0.04,0.04,0.2,0.2,0,0
"63","LOO",1,50,50,0.04,0.04,0.2,0.2,0,0
"64","DIC",2,50,50,0.04,0.04,0.2,0.2,0,0
"65","WAIC",2,50,50,0.04,0.04,0.2,0.2,0,1
"66","LOO",2,50,50,0.04,0.04,0.2,0.2,0,1
"67","DIC",3,50,50,0.04,0.04,0.2,0.2,0,0
"68","WAIC",3,50,50,0.04,0.04,0.2,0.2,0,0
"69","LOO",3,50,50,0.04,0.04,0.2,0.2,0,0
"70","DIC",4,50,50,0.04,0.04,0.2,0.2,0,0
"71","WAIC",4,50,50,0.04,0.04,0.2,0.2,0,0
"72","LOO",4,50,50,0.04,0.04,0.2,0.2,0,0
"73","DIC",5,50,50,0.04,0.04,0.2,0.2,0,0.04
"74","WAIC",5,50,50,0.04,0.04,0.2,0.2,0,0
"75","LOO",5,50,50,0.04,0.04,0.2,0.2,0,0
"76","DIC",1,70,50,0.04,0.04,0.2,0.2,0,0.96
"77","WAIC",1,70,50,0.04,0.04,0.2,0.2,0,0
"78","LOO",1,70,50,0.04,0.04,0.2,0.2,0,0
"79","DIC",2,70,50,0.04,0.04,0.2,0.2,0,0
"80","WAIC",2,70,50,0.04,0.04,0.2,0.2,0,1
"81","LOO",2,70,50,0.04,0.04,0.2,0.2,0,1
"82","DIC",3,70,50,0.04,0.04,0.2,0.2,0,0.02
"83","WAIC",3,70,50,0.04,0.04,0.2,0.2,0,0
"84","LOO",3,70,50,0.04,0.04,0.2,0.2,0,0
"85","DIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"86","WAIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"87","LOO",4,70,50,0.04,0.04,0.2,0.2,0,0
"88","DIC",5,70,50,0.04,0.04,0.2,0.2,0,0.02
"89","WAIC",5,70,50,0.04,0.04,0.2,0.2,0,0
"90","LOO",5,70,50,0.04,0.04,0.2,0.2,0,0
"91","DIC",1,20,100,0.04,0.04,0.2,0.2,0,0.95
"92","WAIC",1,20,100,0.04,0.04,0.2,0.2,0,0
"93","LOO",1,20,100,0.04,0.04,0.2,0.2,0,0
"94","DIC",2,20,100,0.04,0.04,0.2,0.2,0,0.01
"95","WAIC",2,20,100,0.04,0.04,0.2,0.2,0,1
"96","LOO",2,20,100,0.04,0.04,0.2,0.2,0,1
"97","DIC",3,20,100,0.04,0.04,0.2,0.2,0,0.01
"98","WAIC",3,20,100,0.04,0.04,0.2,0.2,0,0
"99","LOO",3,20,100,0.04,0.04,0.2,0.2,0,0
"100","DIC",4,20,100,0.04,0.04,0.2,0.2,0,0
"101","WAIC",4,20,100,0.04,0.04,0.2,0.2,0,0
"102","LOO",4,20,100,0.04,0.04,0.2,0.2,0,0
"103","DIC",5,20,100,0.04,0.04,0.2,0.2,0,0.03
"104","WAIC",5,20,100,0.04,0.04,0.2,0.2,0,0
"105","LOO",5,20,100,0.04,0.04,0.2,0.2,0,0
"106","DIC",1,50,100,0.04,0.04,0.2,0.2,0,0.96
"107","WAIC",1,50,100,0.04,0.04,0.2,0.2,0,0
"108","LOO",1,50,100,0.04,0.04,0.2,0.2,0,0
"109","DIC",2,50,100,0.04,0.04,0.2,0.2,0,0
"110","WAIC",2,50,100,0.04,0.04,0.2,0.2,0,1
"111","LOO",2,50,100,0.04,0.04,0.2,0.2,0,1
"112","DIC",3,50,100,0.04,0.04,0.2,0.2,0,0
"113","WAIC",3,50,100,0.04,0.04,0.2,0.2,0,0
"114","LOO",3,50,100,0.04,0.04,0.2,0.2,0,0
"115","DIC",4,50,100,0.04,0.04,0.2,0.2,0,0
"116","WAIC",4,50,100,0.04,0.04,0.2,0.2,0,0
"117","LOO",4,50,100,0.04,0.04,0.2,0.2,0,0
"118","DIC",5,50,100,0.04,0.04,0.2,0.2,0,0.04
"119","WAIC",5,50,100,0.04,0.04,0.2,0.2,0,0
"120","LOO",5,50,100,0.04,0.04,0.2,0.2,0,0
"121","DIC",1,70,100,0.04,0.04,0.2,0.2,0,0.94
"122","WAIC",1,70,100,0.04,0.04,0.2,0.2,0,0
