"","IC","Model","marg","N","J","p_choose"
"1","DIC",1,5,5,0,0.19
"2","WAIC",1,5,5,0,0.2
"3","LOO",1,5,5,0,0.2
"4","DIC",2,5,5,0,0.25
"5","WAIC",2,5,5,0,0.26
"6","LOO",2,5,5,0,0.34
"7","DIC",3,5,5,0,0.18
"8","WAIC",3,5,5,0,0.19
"9","LOO",3,5,5,0,0.12
"10","DIC",4,5,5,0,0.21
"11","WAIC",4,5,5,0,0.19
"12","LOO",4,5,5,0,0.19
"13","DIC",5,5,5,0,0.17
"14","WAIC",5,5,5,0,0.16
"15","LOO",5,5,5,0,0.15
"16","DIC",1,15,5,0,0.31
"17","WAIC",1,15,5,0,0.31
"18","LOO",1,15,5,0,0.34
"19","DIC",2,15,5,0,0.22
"20","WAIC",2,15,5,0,0.21
"21","LOO",2,15,5,0,0.34
"22","DIC",3,15,5,0,0.23
"23","WAIC",3,15,5,0,0.28
"24","LOO",3,15,5,0,0.13
"25","DIC",4,15,5,0,0.07
"26","WAIC",4,15,5,0,0.05
"27","LOO",4,15,5,0,0.05
"28","DIC",5,15,5,0,0.17
"29","WAIC",5,15,5,0,0.15
"30","LOO",5,15,5,0,0.14
"31","DIC",1,45,5,0,0.41
"32","WAIC",1,45,5,0,0.43
"33","LOO",1,45,5,0,0.45
"34","DIC",2,45,5,0,0.11
"35","WAIC",2,45,5,0,0.1
"36","LOO",2,45,5,0,0.19
"37","DIC",3,45,5,0,0.29
"38","WAIC",3,45,5,0,0.29
"39","LOO",3,45,5,0,0.17
"40","DIC",4,45,5,0,0
"41","WAIC",4,45,5,0,0
"42","LOO",4,45,5,0,0
"43","DIC",5,45,5,0,0.19
"44","WAIC",5,45,5,0,0.18
"45","LOO",5,45,5,0,0.19
"46","DIC",1,5,15,0,0.29
"47","WAIC",1,5,15,0,0.3
"48","LOO",1,5,15,0,0.32
"49","DIC",2,5,15,0,0.28
"50","WAIC",2,5,15,0,0.25
"51","LOO",2,5,15,0,0.3
"52","DIC",3,5,15,0,0.15
"53","WAIC",3,5,15,0,0.19
"54","LOO",3,5,15,0,0.12
"55","DIC",4,5,15,0,0.07
"56","WAIC",4,5,15,0,0.07
"57","LOO",4,5,15,0,0.07
"58","DIC",5,5,15,0,0.21
"59","WAIC",5,5,15,0,0.19
"60","LOO",5,5,15,0,0.19
"61","DIC",1,15,15,0,0.51
"62","WAIC",1,15,15,0,0.54
"63","LOO",1,15,15,0,0.56
"64","DIC",2,15,15,0,0.08
"65","WAIC",2,15,15,0,0.08
"66","LOO",2,15,15,0,0.09
"67","DIC",3,15,15,0,0.19
"68","WAIC",3,15,15,0,0.16
"69","LOO",3,15,15,0,0.13
"70","DIC",4,15,15,0,0
"71","WAIC",4,15,15,0,0
"72","LOO",4,15,15,0,0
"73","DIC",5,15,15,0,0.22
"74","WAIC",5,15,15,0,0.22
"75","LOO",5,15,15,0,0.22
"76","DIC",1,45,15,0,0.53
"77","WAIC",1,45,15,0,0.57
"78","LOO",1,45,15,0,0.61
"79","DIC",2,45,15,0,0
