"","IC","Model","marg","N","J","p_choose"
"1","DIC",1,5,5,0,0.22
"2","WAIC",1,5,5,0,0.23
"3","LOO",1,5,5,0,0.15
"4","DIC",2,5,5,0,0.49
"5","WAIC",2,5,5,0,0.47
"6","LOO",2,5,5,0,0.62
"7","DIC",3,5,5,0,0
"8","WAIC",3,5,5,0,0
"9","LOO",3,5,5,0,0
"10","DIC",4,5,5,0,0.24
"11","WAIC",4,5,5,0,0.26
"12","LOO",4,5,5,0,0.22
"13","DIC",5,5,5,0,0.05
"14","WAIC",5,5,5,0,0.04
"15","LOO",5,5,5,0,0.01
"16","DIC",1,15,5,0,0.44
"17","WAIC",1,15,5,0,0.47
"18","LOO",1,15,5,0,0.4
"19","DIC",2,15,5,0,0.35
"20","WAIC",2,15,5,0,0.33
"21","LOO",2,15,5,0,0.43
"22","DIC",3,15,5,0,0.02
"23","WAIC",3,15,5,0,0
"24","LOO",3,15,5,0,0
"25","DIC",4,15,5,0,0.11
"26","WAIC",4,15,5,0,0.1
"27","LOO",4,15,5,0,0.11
"28","DIC",5,15,5,0,0.08
"29","WAIC",5,15,5,0,0.1
"30","LOO",5,15,5,0,0.06
"31","DIC",1,45,5,0,0.69
"32","WAIC",1,45,5,0,0.69
"33","LOO",1,45,5,0,0.65
"34","DIC",2,45,5,0,0.2
"35","WAIC",2,45,5,0,0.23
"36","LOO",2,45,5,0,0.31
"37","DIC",3,45,5,0,0.01
"38","WAIC",3,45,5,0,0
"39","LOO",3,45,5,0,0
"40","DIC",4,45,5,0,0
"41","WAIC",4,45,5,0,0
"42","LOO",4,45,5,0,0
"43","DIC",5,45,5,0,0.1
"44","WAIC",5,45,5,0,0.08
"45","LOO",5,45,5,0,0.04
"46","DIC",1,5,15,0,0.49
"47","WAIC",1,5,15,0,0.49
"48","LOO",1,5,15,0,0.46
"49","DIC",2,5,15,0,0.38
"50","WAIC",2,5,15,0,0.36
"51","LOO",2,5,15,0,0.41
"52","DIC",3,5,15,0,0
"53","WAIC",3,5,15,0,0
"54","LOO",3,5,15,0,0
"55","DIC",4,5,15,0,0.08
"56","WAIC",4,5,15,0,0.09
"57","LOO",4,5,15,0,0.08
"58","DIC",5,5,15,0,0.05
"59","WAIC",5,5,15,0,0.06
"60","LOO",5,5,15,0,0.05
"61","DIC",1,15,15,0,0.81
"62","WAIC",1,15,15,0,0.83
"63","LOO",1,15,15,0,0.83
"64","DIC",2,15,15,0,0.1
"65","WAIC",2,15,15,0,0.12
"66","LOO",2,15,15,0,0.12
"67","DIC",3,15,15,0,0
"68","WAIC",3,15,15,0,0
"69","LOO",3,15,15,0,0
"70","DIC",4,15,15,0,0
"71","WAIC",4,15,15,0,0
"72","LOO",4,15,15,0,0
"73","DIC",5,15,15,0,0.09
"74","WAIC",5,15,15,0,0.05
"75","LOO",5,15,15,0,0.05
"76","DIC",1,45,15,0,0.9
"77","WAIC",1,45,15,0,0.98
"78","LOO",1,45,15,0,0.98
"79","DIC",2,45,15,0,0
"80","WAIC",2,45,15,0,0
"81","LOO",2,45,15,0,0
"82","DIC",3,45,15,0,0.01
"83","WAIC",3,45,15,0,0
"84","LOO",3,45,15,0,0
"85","DIC",4,45,15,0,0
"86","WAIC",4,45,15,0,0
"87","LOO",4,45,15,0,0
"88","DIC",5,45,15,0,0.09
"89","WAIC",5,45,15,0,0.02
"90","LOO",5,45,15,0,0.02
"91","DIC",1,5,45,0,0.73
"92","WAIC",1,5,45,0,0.72
"93","LOO",1,5,45,0,0.72
"94","DIC",2,5,45,0,0.24
"95","WAIC",2,5,45,0,0.25
"96","LOO",2,5,45,0,0.25
"97","DIC",3,5,45,0,0
"98","WAIC",3,5,45,0,0
"99","LOO",3,5,45,0,0
"100","DIC",4,5,45,0,0
"101","WAIC",4,5,45,0,0
"102","LOO",4,5,45,0,0
